customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetCharges,MonthlyCharges,TotalCharges,Churn
customer_1,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,43.53,2220.03,No
customer_2,Male,1,Yes,Yes,14,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,46.0,109.39,1531.46,No
customer_3,Female,0,Yes,No,71,No,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,34.36,99.36,7054.56,No
customer_4,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,65.56,115.12,6907.2,No
customer_5,Male,0,Yes,No,20,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,400,Yes
customer_6,Female,0,No,Yes,23,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,33.27,765.21,No
customer_7,Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,77.01,129.92,259.84,No
customer_8,Female,0,No,Yes,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,35.25,740.25,No
customer_9,Female,1,Yes,Yes,52,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,One year,43.86,88.86,4620.72,No
customer_10,Female,1,Yes,Yes,1,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,136.31,191.31,191.31,No
customer_11,Male,0,No,Yes,29,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,No,One year,20.78,78.35,2272.15,No
customer_12,Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,46.32,1713.84,No
customer_13,Male,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,20,No
customer_14,Male,1,No,No,63,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,107.06,177.06,11154.78,No
customer_15,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,77.14,141.61,8354.99,No
customer_16,Female,0,No,No,20,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,54.55,98.02,1960.4,No
customer_17,Male,0,No,No,32,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,31.14,113.63,3636.16,Yes
customer_18,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,90.32,165.62,9440.34,No
customer_19,Female,1,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,119.84,180.84,3797.64,No
customer_20,Male,0,Yes,Yes,48,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,43.16,115.55,5546.4,No
customer_21,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,134.32,174.51,10121.58,No
customer_22,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Two year,48.14,117.82,4830.62,No
customer_23,Male,1,Yes,Yes,59,No,Yes,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,28.43,58.43,3447.37,No
customer_24,Female,1,No,Yes,14,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,138.38,213.2,2984.8,No
customer_25,Female,0,Yes,Yes,61,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,21.67,94.65,5773.65,No
customer_26,Male,1,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,49.48,3018.28,No
customer_27,Male,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,45.65,2099.9,No
customer_28,Male,1,Yes,Yes,61,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,77.83,127.83,7797.63,No
customer_29,Female,1,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1000,No
customer_30,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,122.91,180.03,9721.62,No
customer_31,Female,0,No,Yes,63,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,1260,No
customer_32,Male,1,No,Yes,2,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,One year,113.35,138.35,276.7,Yes
customer_33,Female,0,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,1000,No
customer_34,Female,1,Yes,No,6,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Month-to-month,95.37,115.37,692.22,No
customer_35,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,34.49,689.8,No
customer_36,Male,0,Yes,No,72,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,99.55,142.5,10260.0,No
customer_37,Male,1,Yes,Yes,38,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,760,No
customer_38,Male,1,Yes,No,17,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,340,No
customer_39,Female,1,Yes,No,3,No,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,30.98,65.98,197.94,No
customer_40,Male,1,No,No,59,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,Yes,One year,22.57,94.19,5557.21,No
customer_41,Male,0,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,103.06,148.98,1936.74,No
customer_42,Male,1,Yes,No,8,No,No,DSL,No,No,No internet service,No internet service,No,No internet service,One year,26.6,46.6,372.8,No
customer_43,Male,1,Yes,Yes,52,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,96.38,146.38,7611.76,No
customer_44,Female,1,No,No,1,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,22.74,78.55,78.55,Yes
customer_45,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,80.5,128.86,7602.74,No
customer_46,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,48.16,3371.2,No
customer_47,Male,0,Yes,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,860,No
customer_48,Male,1,No,No,7,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,30.25,211.75,No
customer_49,Female,0,No,No,46,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,44.64,69.64,3203.44,No
customer_50,Female,1,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,90.32,135.21,4597.14,No
customer_51,Female,0,No,No,35,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,700,No
customer_52,Male,0,Yes,Yes,49,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,980,No
customer_53,Female,1,Yes,Yes,3,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Two year,97.86,122.86,368.58,No
customer_54,Female,1,No,No,1,No,No,DSL,Yes,No internet service,Yes,No,Yes,No internet service,Two year,41.43,96.43,96.43,No
customer_55,Male,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,102.73,168.64,843.2,Yes
customer_56,Female,0,No,Yes,53,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,80.2,142.48,7551.44,Yes
customer_57,Female,0,Yes,Yes,3,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Two year,107.69,167.2,501.6,No
customer_58,Female,1,No,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,1060,No
customer_59,Male,0,Yes,No,62,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,Two year,38.02,122.42,7590.04,Yes
customer_60,Female,1,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,43.22,734.74,No
customer_61,Female,0,Yes,Yes,43,No,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,One year,56.85,91.85,3949.55,No
customer_62,Female,1,No,No,33,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,660,No
customer_63,Female,1,Yes,Yes,61,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,49.02,2990.22,No
customer_64,Female,0,Yes,No,13,No,No,DSL,No internet service,No,No internet service,No,Yes,No,One year,33.92,68.92,895.96,No
customer_65,Male,0,No,No,47,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,940,No
customer_66,Male,1,Yes,No,14,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,36.53,66.53,931.42,No
customer_67,Female,1,Yes,Yes,71,No,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Two year,58.93,108.93,7734.03,No
customer_68,Male,1,Yes,No,61,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Two year,31.67,82.14,5010.54,No
customer_69,Female,0,No,Yes,39,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,780,No
customer_70,Male,0,No,No,52,No,No phone service,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,139.91,169.91,8835.32,No
customer_71,Female,1,No,No,23,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,128.48,183.48,4220.04,Yes
customer_72,Female,1,No,Yes,25,No,Yes,DSL,No internet service,No internet service,No,Yes,No,Yes,One year,41.04,86.04,2151.0,Yes
customer_73,Male,1,Yes,Yes,59,No,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,128.19,163.19,9628.21,No
customer_74,Female,1,Yes,Yes,40,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,49.95,1998.0,No
customer_75,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,89.99,149.87,4196.36,No
customer_76,Male,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,280,No
